res_is_redirect,res_headers_type_num,res_constitute_url_num,res_constitute_domain_type,res_state_code
0,11,2,1,200
0,0,0,0,403
0,0,0,0,502
0,6,10,1,200
0,11,19,3,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,13,3,2,200
0,0,0,0,502
0,0,0,0,502
0,11,11,1,200
0,13,4,2,200
0,11,1,1,200
1,11,65,2,200
0,0,0,0,404
0,11,43,1,200
0,11,39,1,200
0,11,6,1,200
0,0,0,0,502
0,13,8,3,200
0,13,13,2,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,410
0,0,0,0,404
0,0,0,0,404
0,0,0,0,500
0,11,22,2,200
0,0,0,0,404
0,0,0,0,404
0,11,21,1,200
0,13,10,2,200
0,13,11,1,200
0,13,8,1,200
0,0,0,0,503
0,0,0,0,502
0,0,0,0,502
0,11,12,2,200
0,11,20,2,200
0,0,0,0,502
0,11,39,1,200
0,11,13,4,200
0,11,13,4,200
0,6,106,1,200
0,6,106,1,200
0,11,10,2,200
0,11,11,2,200
1,6,4,2,200
0,0,0,0,502
0,11,36,1,200
0,11,19,3,200
0,0,0,0,502
0,0,0,0,0
0,6,15,5,200
0,13,9,1,200
0,0,0,0,404
0,11,8,1,200
0,11,7,2,200
0,13,34,1,200
0,13,1,1,200
0,13,8,2,200
0,13,11,3,200
0,11,8,3,200
0,6,10,3,200
0,6,2,1,200
0,6,1,1,200
0,11,9,3,200
0,11,16,2,200
0,11,7,1,200
0,13,9,1,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,11,49,1,200
0,13,11,1,200
0,11,5,2,200
0,11,36,2,200
0,0,0,0,404
0,13,17,2,200
0,0,0,0,404
0,11,9,1,200
0,11,9,1,200
0,6,13,2,200
0,11,39,1,200
0,11,28,2,200
0,0,0,0,410
0,0,0,0,404
0,0,0,0,404
0,0,0,0,500
0,0,0,0,500
0,0,0,0,410
0,0,0,0,404
0,0,0,0,410
0,11,5,1,200
0,11,5,1,200
0,11,5,1,200
0,0,0,0,410
0,13,4,2,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,410
0,0,0,0,0
0,11,3,2,200
0,0,0,0,0
0,0,0,0,0
0,0,0,0,502
0,0,0,0,410
1,11,180,3,200
0,0,0,0,410
0,0,0,0,404
0,11,81,2,200
0,11,11,2,200
0,11,5,1,200
0,11,5,1,200
0,6,2,1,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,504
0,0,0,0,410
0,0,0,0,502
0,13,14,1,200
0,0,0,0,404
0,13,6,1,200
0,0,0,0,502
0,0,0,0,410
0,0,0,0,502
0,11,5,2,200
0,6,4,2,200
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,500
0,0,0,0,404
0,0,0,0,502
0,11,51,1,200
0,0,0,0,502
0,6,18,1,200
1,6,184,3,200
0,0,0,0,502
0,0,0,0,410
0,0,0,0,410
0,0,0,0,502
0,11,12,1,200
0,0,0,0,502
0,13,34,1,200
0,0,0,0,404
0,13,22,1,200
0,11,21,1,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,404
0,0,0,0,521
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,11,127,1,200
1,11,2,2,200
0,6,5,1,200
0,6,4,2,200
0,0,0,0,410
0,13,6,1,200
1,11,34,1,200
0,0,0,0,403
0,6,8,1,200
0,11,28,2,200
0,0,0,0,502
0,11,1,1,200
0,11,43,1,200
0,0,0,0,502
1,11,25,1,200
0,11,19,1,200
0,11,5,2,200
0,0,0,0,502
0,11,8,2,200
0,6,11,1,200
0,11,10,1,200
1,6,26,4,200
0,13,34,1,200
0,11,42,1,200
0,11,10,1,200
0,11,9,1,200
0,13,8,3,200
1,13,179,5,200
0,11,6,1,200
0,0,0,0,502
0,13,8,3,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,502
0,11,51,2,200
0,6,6,2,200
0,0,0,0,404
0,11,44,1,200
1,11,45,2,200
0,0,0,0,404
0,0,0,0,502
0,13,9,1,200
0,0,0,0,404
0,0,0,0,403
0,13,33,1,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,11,46,2,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,403
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,403
0,0,0,0,502
0,0,0,0,502
0,6,14,1,200
0,13,13,1,200
0,11,2,2,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,403
0,0,0,0,403
0,6,35,2,200
0,11,44,1,200
0,0,0,0,403
0,0,0,0,502
0,0,0,0,502
0,6,14,3,200
0,6,55,1,200
0,0,0,0,404
1,13,6,4,200
0,11,2,2,200
0,11,28,2,200
0,13,1,1,200
0,0,0,0,403
0,0,0,0,403
0,0,0,0,403
0,0,0,0,403
0,0,0,0,403
0,0,0,0,404
0,11,5,2,200
0,11,149,2,200
0,11,28,2,200
1,11,33,1,200
0,0,0,0,502
0,0,0,0,403
0,11,8,2,200
